bbr_player_id,name,salary_usd,notes
durenja01,Jalen Duren,6483144,Carry-forward 2025-26 salary pending 2026-27 confirmation (rostered on ESPN)
mathube01,Bennedict Mathurin,9187573,Carry-forward 2025-26 salary pending 2026-27 confirmation (rostered on ESPN)
watsope01,Peyton Watson,4356476,Carry-forward 2025-26 salary pending 2026-27 confirmation (rostered on ESPN)
ryanco01,Cormac Ryan,1361969,Carry-forward 2025-26 salary pending 2026-27 confirmation (rostered on ESPN); floored to NBA minimum for draft cap
newtotr01,Tristen Newton,1361969,Carry-forward 2025-26 salary pending 2026-27 confirmation (rostered on ESPN); floored to NBA minimum for draft cap
hinsobl01,Blake Hinson,1361969,Carry-forward 2025-26 salary pending 2026-27 confirmation (rostered on ESPN); floored to NBA minimum for draft cap
reeseju01,Julian Reese,1361969,Carry-forward 2025-26 salary pending 2026-27 confirmation (rostered on ESPN); floored to NBA minimum for draft cap
smallja01,Javon Small,1361969,Carry-forward 2025-26 salary pending 2026-27 confirmation (rostered on ESPN); floored to NBA minimum for draft cap
jacksqu01,Quenton Jackson,1361969,Carry-forward 2025-26 salary pending 2026-27 confirmation (rostered on ESPN); floored to NBA minimum for draft cap
vukcetr01,Tristan Vukcevic,1361969,Carry-forward 2025-26 salary pending 2026-27 confirmation (rostered on ESPN); floored to NBA minimum for draft cap
poulajo01,John Poulakidas,1361969,Carry-forward 2025-26 salary pending 2026-27 confirmation (rostered on ESPN); floored to NBA minimum for draft cap
odurojo01,Josh Oduro,1361969,Carry-forward 2025-26 salary pending 2026-27 confirmation (rostered on ESPN); floored to NBA minimum for draft cap
johnsch06,Chaney Johnson,1361969,Carry-forward 2025-26 salary pending 2026-27 confirmation (rostered on ESPN); floored to NBA minimum for draft cap
cryerlj01,LJ Cryer,1361969,Carry-forward 2025-26 salary pending 2026-27 confirmation (rostered on ESPN); floored to NBA minimum for draft cap
coopesh01,Sharife Cooper,1361969,Carry-forward 2025-26 salary pending 2026-27 confirmation (rostered on ESPN); floored to NBA minimum for draft cap
roddyda01,David Roddy,1361969,Carry-forward 2025-26 salary pending 2026-27 confirmation (rostered on ESPN); floored to NBA minimum for draft cap
willije02,Nate Williams,1361969,Carry-forward 2025-26 salary pending 2026-27 confirmation (rostered on ESPN); floored to NBA minimum for draft cap
etienty01,Tyson Etienne,1361969,Carry-forward 2025-26 salary pending 2026-27 confirmation (rostered on ESPN); floored to NBA minimum for draft cap
tshieos01,Oscar Tshiebwe,1361969,Carry-forward 2025-26 salary pending 2026-27 confirmation (rostered on ESPN); floored to NBA minimum for draft cap
slawsja01,Jalen Slawson,1361969,Carry-forward 2025-26 salary pending 2026-27 confirmation (rostered on ESPN); floored to NBA minimum for draft cap
spencpa01,Pat Spencer,1361969,Carry-forward 2025-26 salary pending 2026-27 confirmation (rostered on ESPN); floored to NBA minimum for draft cap
thompet01,Ethan Thompson,1361969,Carry-forward 2025-26 salary pending 2026-27 confirmation (rostered on ESPN); floored to NBA minimum for draft cap
harklej01,Elijah Harkless,1361969,Carry-forward 2025-26 salary pending 2026-27 confirmation (rostered on ESPN); floored to NBA minimum for draft cap
wilsoja03,Jalen Wilson,2221677,Carry-forward 2025-26 salary pending 2026-27 confirmation (rostered on ESPN)
mashaja01,Jahmai Mashack,1361969,Carry-forward 2025-26 salary pending 2026-27 confirmation (rostered on ESPN); floored to NBA minimum for draft cap
mccluma01,Mac McClung,1361969,Carry-forward 2025-26 salary pending 2026-27 confirmation (rostered on ESPN); floored to NBA minimum for draft cap
yabusgu01,Guerschon Yabusele,5500000,Carry-forward 2025-26 salary pending 2026-27 confirmation (rostered on ESPN)
jonessp01,Spencer Jones,1361969,Carry-forward 2025-26 salary pending 2026-27 confirmation (rostered on ESPN); floored to NBA minimum for draft cap
cardwdy01,Dylan Cardwell,1361969,Carry-forward 2025-26 salary pending 2026-27 confirmation (rostered on ESPN); floored to NBA minimum for draft cap
alexatr01,Trey Alexander,1361969,Carry-forward 2025-26 salary pending 2026-27 confirmation (rostered on ESPN); floored to NBA minimum for draft cap
simpskj01,KJ Simpson,1361969,Carry-forward 2025-26 salary pending 2026-27 confirmation (rostered on ESPN); floored to NBA minimum for draft cap
pullizy01,Zyon Pullin,1361969,Carry-forward 2025-26 salary pending 2026-27 confirmation (rostered on ESPN); floored to NBA minimum for draft cap
cissemo01,Moussa Cisse,1361969,Carry-forward 2025-26 salary pending 2026-27 confirmation (rostered on ESPN); floored to NBA minimum for draft cap
