PLAYER_NAME,BBR_PLAYER_ID,TEAM_ABBREVIATION,DWS,DBPM,DRB_PCT,STL_PCT,BLK_PCT
Victor Wembanyama,wembavi01,SAS,5.0,4.2,33.9,1.7,9.4
Chet Holmgren,holmgch01,OKC,4.7,1.9,25.3,1.0,6.4
Scottie Barnes,barnesc01,TOR,4.5,2.3,19.3,2.1,4.2
Cason Wallace,wallaca01,OKC,4.2,3.3,8.9,3.5,1.3
Ausar Thompson,thompau01,DET,4.1,3.6,15.6,3.7,3.6
Shai Gilgeous-Alexander,gilgesh01,OKC,4.1,3.0,11.7,2.0,2.3
Rudy Gobert,goberru01,MIN,4.0,0.9,25.9,1.2,4.5
Karl-Anthony Towns,townska01,NYK,4.0,0.6,31.7,1.4,1.8
Jalen Johnson,johnsja05,ATL,3.9,1.4,27.8,1.7,1.1
Amen Thompson,thompam01,HOU,3.8,1.0,14.0,2.0,1.5
Jalen Duren,durenja01,DET,3.8,0.5,26.4,1.4,3.0
Neemias Queta,quetane01,BOS,3.6,2.0,22.7,1.6,5.2
Dyson Daniels,daniedy01,ATL,3.6,1.8,14.7,2.8,1.1
Alperen Şengün,sengual01,HOU,3.6,1.5,19.4,1.8,3.0
Cade Cunningham,cunnica01,DET,3.6,1.5,15.2,2.0,2.5
Bam Adebayo,adebaba01,MIA,3.6,0.4,25.7,1.7,1.8
Derrick White,whitede01,BOS,3.5,1.0,10.4,1.7,3.8
Donovan Clingan,clingdo01,POR,3.5,0.6,28.6,1.0,5.5
Nikola Jokić,jokicni01,DEN,3.4,4.1,30.4,2.0,2.2
Julian Champagnie,champju02,SAS,3.4,0.8,18.4,1.3,1.5
Jaylen Brown,brownja02,BOS,3.4,-0.1,18.1,1.5,1.1
Mikal Bridges,bridgmi01,NYK,3.3,1.4,9.7,2.0,2.4
Onyeka Okongwu,okongon01,ATL,3.3,0.8,20.3,1.7,3.1
Jabari Smith Jr.,smithja05,HOU,3.3,-0.2,17.0,1.0,2.4
OG Anunoby,anunoog01,NYK,3.2,1.1,13.4,2.3,2.2
Naz Reid,reidna01,MIN,3.2,1.0,20.8,1.8,3.4
Kevin Durant,duranke01,HOU,3.2,0.1,14.8,1.1,2.3
Reed Sheppard,sheppre01,HOU,3.1,1.5,10.7,2.8,2.3
Julius Randle,randlju01,MIN,3.1,0.0,16.5,1.6,0.6
Brandon Ingram,ingrabr01,TOR,3.1,-0.5,16.1,1.1,2.0
Josh Hart,hartjo01,NYK,3.0,2.0,22.1,1.9,0.9
Luguentz Dort,dortlu01,OKC,3.0,0.8,10.7,1.6,1.4
De'Aaron Fox,foxde01,SAS,3.0,0.6,10.7,1.9,0.8
